Acc.Number,Leaf blade length [cm],Leaf blade width [cm],Culm length [cm],Panicle length [cm],Ligule length [mm],Culm diameter [mm],Total number of tillers ,Number of fertile tillers ,Ligule Shape,Plant Type
WAB0015695,"31,66","1,52","105,69","25,12",,"4,57",36,14,,
WAB0015711,"18,65","1,20","79,00","19,20","2,10","5,00",20,19,CLEFT,ERECT
WAB0015781,"15,96","0,90","80,33","24,17","1,23","5,30",8,8,ACUTE TO ACCUMUNATE,ERECT
WAB0015896,"37,83",,"102,18","26,61",,,12,7,,
WAB0015935,"44,93","1,45","160,30","28,14","1,93","6,87",12,11,,
WAB0015966,"22,00","0,97","68,00","24,07","1,93","5,77",15,14,ACUTE TO ACCUMUNATE,ERECT
WAB0016010,"21,54","0,90","75,33","24,77","1,97","5,40",12,12,,ERECT
WAB0016014,"43,39","1,47","117,65","29,49",,"4,23",24,11,,
WAB0016031,"45,37",,"140,97","33,18",,,16,12,,
WAB0016047,"45,10","2,00","126,31","28,58",,"0,64",21,18,,
WAB0016125,"37,61","1,44","114,57","22,61",,,23,22,,
WAB0016185,"42,17","2,20","108,58","23,70",,"3,83",50,29,,
WAB0016209,"41,47","1,32","113,58","25,48",,"0,55",18,12,,
WAB0016227,"36,24","1,40","118,09","25,91",,,22,16,,
WAB0016229,"44,57","1,64","111,64","27,98",,,12,18,,
wab0016238,"29,80","1,72","112,94","24,47",,,12,7,,
WAB0016245,"35,28","1,62","115,29","24,44",,"0,56",38,27,,
WAB0016255,"43,11",,"136,30","23,12",,,13,12,,
WAB0016263,"42,12","1,86","120,89","23,70","0,60","0,60",21,19,,
WAB0016273,"42,02","1,57","93,78","29,67",,"4,63",29,9,,
WAB0016291,"42,77","1,92","141,06","25,02",,"0,55",36,22,,
WAB0016295,"18,10","1,10","85,00","26,60","1,80","6,90",50,47,ACUTE TO ACCUMUNATE,ERECT
WAB0016308,"42,50","1,50","145,77","26,00",,,8,8,,
WAB0016311,"49,33","1,97","98,24","23,90","2,03","5,37",12,10,,
WAB0016312,"19,65","1,15","78,50","25,30","1,55","7,00",24,20,ACUTE TO ACCUMUNATE,ERECT
WAB0016316,"41,51","1,53","125,66","27,90",,,18,13,,
WAB0016327,"35,95","1,60","112,73","21,61",,"0,50",17,9,,
WAB0016420,"40,30","1,87","111,07","28,69",,,16,15,,
WAB0016428,"36,47",,"129,13","21,08",,,23,16,,
WAB0006228,"46,13","1,37","107,19","25,87",,"0,56",21,16,,
WAB0016430,"27,30","0,53","84,17","30,13","1,27","6,00",6,4,CLEFT,OPEN
WAB0016435,,"1,50","163,20",,,,11,9,,
WAB0016442,"37,54","1,70","128,96","29,38",,"0,52",18,7,,
WAB0016466,"30,82","1,50","103,00","25,97","1,63","5,97",8,6,ACUTE TO ACCUMUNATE,ERECT
WAB0016467,"24,98","1,30","96,00","25,23","1,40","7,43",10,7,CLEFT,ERECT
WAB0016468,"24,35","1,10","80,00","30,10","2,20","6,90",61,52,CLEFT,ERECT
WAB0016470,"35,89","1,57","124,31","24,78",,,22,17,,
WAB0016475,"29,30","1,60","125,67","26,67","1,43","6,73",6,5,CLEFT,ERECT
WAB0016476,"34,54","1,37","111,83","22,68",,,,,,
WAB0016480,"36,10","1,70","105,67","27,53","0,40","5,17",46,38,TIP ROUND OR TRUNCATE,ERECT
WAB0016496,"36,96","1,53","127,67","26,70","1,63","6,97",12,10,CLEFT,ERECT
WAB0016575,"49,67","1,81","167,58","29,84","2,70",,,,,
WAB0016645,"45,58","1,60","137,33","27,74",,"0,69",17,13,,
WAB0016664,"36,52","1,27","124,33","28,63","2,27","7,73",10,8,ACUTE TO ACCUMUNATE,ERECT
WAB0016665,"25,72","0,80","93,67","26,10","2,13","5,83",15,12,,
WAB0016668,"43,36","1,60","130,67","32,30","1,90","6,20",8,6,CLEFT,ERECT
WAB0016680,"41,29","1,82","131,92","23,89",,,21,13,,
WAB0016685,"36,31","1,76","113,54","25,36","0,71",,29,23,,
WAB0016688,"30,28","1,07","98,33","21,20","1,43","5,57",9,8,ACUTE TO ACCUMUNATE,ERECT
WAB0016715,"26,80","0,83","88,67","22,37","1,47","4,77",14,11,MIXTURE,ERECT
WAB0016716,"52,16",,"137,04","26,60",,"0,59",19,17,,
WAB0016723,"44,27","1,90","129,84","29,17",,,23,20,,
WAB0016737,"49,08","1,93","142,84","25,66",,,28,17,,
WAB0016744,"31,98",,"113,44","31,80",,"0,56",17,12,,
WAB0016748,"37,66","1,70","117,47","26,11",,"3,08",16,10,,
WAB0016752,"42,58","1,73","159,67","28,70","2,23","5,67",15,13,CLEFT,ERECT
WAB0016762,"59,12","1,68","111,32","20,25","1,86","6,23",11,9,,
WAB0016770,"38,18","1,75","124,00","25,64",,"0,51",20,16,,
WAB0016784,"39,82","1,53","122,20","27,57","2,97","5,17",14,12,ACUTE TO ACCUMUNATE,ERECT
WAB0016790,"28,75","1,84","98,60","22,72",,"0,53",14,16,,
WAB0016794,"37,05",,"154,27","26,09",,,9,8,,
WAB0016801,"22,20","1,03","75,00","27,43","1,83","6,23",17,16,CLEFT,ERECT
WAB0016804,"51,29",,"134,47","28,19",,"0,56",16,14,,
WAB0016814,"38,54","1,70","128,67","29,01","2,91","3,83",22,16,,
WAB0016828,"55,04","1,93","132,57","25,43","1,68",,20,19,,
WAB0016832,"38,78","1,53","112,93","27,81",,,25,23,,
WAB0016833,"40,86","2,07","100,15","24,50",,,13,17,,
WAB0016837,"36,02","1,92","132,75","23,88",,"0,56",17,13,,
WAB0016838,"44,46","1,60","139,54","33,54",,"0,57",26,21,,
WAB0016848,"37,85",,"108,53","28,88",,,18,14,,
WAB0016890,"38,20","1,53","121,52","26,68",,,17,13,,
WAB0016938,"40,41","2,20","138,23","29,45",,,14,13,,
WAB0016955,"32,37","1,27","118,63","27,10",,,21,15,,
WAB0016971,"22,75","1,00","70,00","23,60","1,90","6,60",45,23,ACUTE TO ACCUMUNATE,ERECT
WAB0016973,"23,86","0,83","82,67","23,03","1,23","5,50",13,11,ACUTE TO ACCUMUNATE,ERECT
WAB0016975,"35,52","1,57","104,83","19,13",,"0,59",13,13,,
WAB0016981,"42,79","1,67","122,38","22,43","0,84","0,54",21,8,,
WAB0016982,"26,78","1,17","103,17","32,87","1,63","6,73",10,7,CLEFT,ERECT
WAB0016984,"58,50","1,50","117,60","27,38","1,41","5,47",25,11,,
WAB0016985,"49,20","1,90","124,92","26,30",,,16,12,,
WAB0016986,"42,42","1,40","156,34","34,93","1,73",,19,16,,
WAB0016987,"44,03","2,27","129,16","30,48",,"0,51",14,9,,
WAB0016989,"38,86","1,77","119,61","31,63","0,58","0,59",32,29,,
WAB0016990,"45,30","1,84","121,32","23,58",,"0,55",13,15,,
WAB0016991,"42,42","1,60","104,96","26,39",,"3,97",35,9,,
WAB0016992,"39,26","2,20","112,27","24,15",,,17,15,,
WAB0016997,"30,06","1,30","85,67","25,67","1,10","6,00",19,19,CLEFT,ERECT
WAB0017019,"41,64","1,73","130,51","33,83",,"0,50",16,15,,
WAB0017023,"47,83","1,13","123,45","27,46",,"0,55",18,15,,
WAB0017025,"20,42","0,73","87,00","20,73","1,37","6,27",10,5,ACUTE TO ACCUMUNATE,ERECT
WAB0017026,"36,30","1,57","142,00","26,27","1,87","7,57",9,9,CLEFT,ERECT
WAB0017031,"26,42","1,33","89,00","22,20","1,07","6,67",7,7,MIXTURE,ERECT
WAB0017033,"23,25","0,95","90,00","27,75","1,90","6,20",21,19,ACUTE TO ACCUMUNATE,INTERMEDIATE
WAB0017034,"25,72","0,80","93,67","26,10","2,13","5,83",15,12,ACUTE TO ACCUMUNATE,ERECT
WAB0017037,"44,60","1,33","127,67","29,03","2,80","7,73",16,13,CLEFT,ERECT
WAB0017038,"45,29","1,53","138,58","26,07",,"3,28",17,12,,
WAB0017039,"33,06","1,17","121,67","30,17","2,30","6,40",13,9,MIXTURE,ERECT
WAB0017053,"35,10",,"69,06","28,48",,"5,14",16,,,
WAB0017055,"29,82","1,10","84,67","25,97","1,20","5,10",10,9,CLEFT,ERECT
WAB0017059,"21,92","0,93","71,50","22,20","1,53","6,70",8,8,ACUTE TO ACCUMUNATE,ERECT
WAB0017073,"40,10","1,71","141,66","25,95",,"0,54",18,13,,
WAB0017083,"41,36",,"120,40","24,12",,"3,97",39,8,,
WAB0017085,"39,32",,"127,82","28,91",,,22,20,,
WAB0017094,"46,90","1,47","136,70","26,32","0,53","0,55",11,11,,
WAB0017096,"23,82","1,47","82,67","27,80","0,30","7,57",13,10,TIP ROUND OR TRUNCATE,OPEN
WAB0017099,"33,95",,,"31,65","1,23",,11,9,,
WAB0017103,"51,49","1,83","131,63","28,69",,"0,50",16,13,,
WAB0017106,"64,05","1,67","144,42","27,56",,"0,56",22,19,,
WAB0017108,"51,67","1,60","112,71","33,80",,"0,69",16,27,,
WAB0017109,"38,23",,"128,50","25,21",,"0,56",19,17,,
WAB0017112,"45,02",,"128,96","26,90",,"0,59",16,14,,
WAB0017114,"36,66","1,77","122,91","28,69",,,14,13,,
WAB0017119,"23,26","1,00","75,33","27,17","1,33","4,67",14,13,ACUTE TO ACCUMUNATE,ERECT
WAB0017127,"43,48","1,57","117,56","30,10","0,88","2,03",20,19,,
WAB0017128,"35,87",,"142,18","28,28","1,16",,18,16,,
WAB0017129,"38,18","1,91","107,75","25,03",,"3,53",36,23,,
WAB0017130,"38,10","1,37","145,02","30,70",,,11,7,,
WAB0017132,"38,89","1,43","123,45","27,08",,"0,53",23,26,,
WAB0017137,"36,43",,"120,72","25,33",,"0,50",9,7,,
WAB0017138,"29,51","1,27","120,00","29,29","0,54",,29,21,,
WAB0017139,"46,02","1,94","120,66","33,93",,"0,51",23,18,,
WAB0017140,"39,38","1,52","128,00","31,26",,,19,17,,
WAB0017142,"31,96","1,03","115,33","25,00","1,67","4,87",12,11,ACUTE TO ACCUMUNATE,ERECT
WAB0017144,"20,36","1,00","69,67","26,67","1,00","5,00",14,13,ACUTE TO ACCUMUNATE,ERECT
WAB0017147,"31,98","4,07","143,67","22,00","1,67","5,37",10,9,ACUTE TO ACCUMUNATE,ERECT
WAB0017154,"21,92","0,93","71,50","22,20","1,53","6,70",8,8,,
WAB0017194,"20,15","0,90","80,00","19,10","1,50","5,10",6,4,ACUTE TO ACCUMUNATE,ERECT
WAB0017198,"45,84","1,80","142,98","28,44",,"0,57",20,10,,
WAB0017274,"24,62","1,20","91,33","28,47","1,70","6,53",22,21,CLEFT,ERECT
WAB0017278,"32,60","1,23","124,00","28,60","2,07","7,97",20,17,CLEFT,INTERMEDIATE
WAB0017304,"51,87","1,73","155,78","24,64",,,17,7,,
WAB0017602,"45,84","1,10","142,82","33,11",,"0,63",15,13,,
WAB0017617,"46,05","1,73","161,52","24,32","1,53","6,21",12,10,,
WAB0017644,"30,80","1,10","92,67","27,60","1,87","5,57",14,14,ACUTE TO ACCUMUNATE,ERECT
WAB0017648,"40,13","1,17","161,40","24,80","2,20","0,61",17,17,,
WAB0017666,"31,75","1,20","122,00","30,60","2,20","6,80",58,35,CLEFT,ERECT
WAB0017674,"46,63","1,72","110,58","26,23",,"0,62",11,10,,
WAB0017710,"33,10","1,23","105,00","26,87","2,20","5,30",10,10,ACUTE TO ACCUMUNATE,ERECT
WAB0017719,"38,62","1,53","123,00","25,70","2,00","5,83",19,17,ACUTE TO ACCUMUNATE,ERECT
WAB0017728,"33,80","1,71","123,29","29,94",,,17,13,,
WAB0017730,"47,98","1,64","126,13","22,72",,,16,8,,
WAB0017743,"61,24","2,00","144,18","31,29",,"0,57",23,21,,
WAB0017773,"37,36","1,47","124,72","26,14",,"0,56",26,19,,
WAB0017793,"43,84","1,67","152,20","27,24",,"0,55",21,17,,
WAB0017805,"40,28",,"134,51","27,48",,,21,15,,
WAB0017843,"37,50","1,97","118,31","26,27",,"0,60",23,17,,
WAB0017856,"40,75","2,01","110,29","30,14",,"0,59",11,19,,
WAB0017863,"62,04","1,83","111,22","27,11","2,18","7,83",12,10,,
WAB0017881,"37,55","1,33","131,55","27,65",,"0,61",14,13,,
WAB0017901,"42,45","1,20","128,87","29,67",,"0,53",15,13,,
wab0018062,"36,97","1,65","117,67","25,27",,,19,17,,
WAB0018249,"39,00",,"113,22","24,24",,,9,8,,
WAB0018268,,"1,41","129,37","29,47",,,7,6,,
WAB0018275,"26,88","1,27","81,33","23,77","1,43","6,30",18,17,CLEFT,ERECT
WAB0018276,"42,47","1,81","118,73","27,29",,"2,37",23,20,,
WAB0018285,"23,44","0,80","72,33","23,40","1,83","4,80",18,18,ACUTE TO ACCUMUNATE,INTERMEDIATE
WAB0018286,"39,53","1,83","115,21","23,28","0,60",,15,13,,
WAB0018290,"33,32","1,17","97,00","29,47","2,13","6,87",11,11,ACUTE TO ACCUMUNATE,ERECT
WAB0018304,"42,50",,"141,72","28,58","0,80","2,92",17,15,,
WAB0018324,"21,24","1,23","91,67","24,57","1,40","6,23",8,8,ACUTE TO ACCUMUNATE,ERECT
WAB0018358,"53,59","2,00","140,16","30,43",,,22,12,,
WAB0018409,"34,46","1,53","106,67","25,77","2,00","7,70",8,6,MIXTURE,ERECT
WAB0018451,"22,92","1,03","78,33","28,17","1,63","5,53",13,11,ACUTE TO ACCUMUNATE,ERECT
WAB0018482,"53,00","1,57","136,04","22,92","2,13","0,63",9,9,,
WAB0018487,"27,98","1,17","85,67","34,67","0,23","5,70",15,8,TIP ROUND OR TRUNCATE,INTERMEDIATE
WAB0018488,"42,45",,"147,44","16,80",,,18,14,,
WAB0018508,"19,65","1,60","89,00","26,00","1,20","9,00",12,10,CLEFT,INTERMEDIATE
WAB0018539,"16,46","0,67","53,33","22,13","0,87","4,93",14,14,ACUTE TO ACCUMUNATE,ERECT
WAB0018548,"42,78","1,43","118,02","22,20","1,05","0,57",17,20,,
WAB0018810,"35,82","1,73","110,13","22,37",,"0,52",25,25,,
WAB0018849,"38,56","1,85","77,29","33,81","1,73","4,37",11,10,,
WAB0018898,"38,17","2,00","118,69","28,62",,,20,14,,
WAB0018942,"51,82","2,08","147,40","30,03",,"0,58",15,13,,
WAB0018978,"33,04","1,48","83,05","29,08",,"3,43",26,8,,
WAB0018998,"38,46","1,30","114,78","28,44",,"2,97",38,10,,
WAB0019296,"32,34","1,47","106,13","23,22",,,23,19,,
WAB0019297,"42,86","1,30","119,49","22,86",,,32,24,,
WAB0019298,"33,60","1,40","96,00","32,87","1,77","7,33",22,18,CLEFT,ERECT
WAB0019304,"31,83","1,61","105,93","26,53","0,50","0,53",34,16,,
WAB0019305,"35,02","1,73","110,99","34,23",,"0,53",15,14,,
WAB0019306,"36,92","1,23","122,15","31,10","0,81","0,57",16,15,,
WAB0019308,"42,54","1,66","133,13","28,41","0,51",,24,17,,
WAB0019336,"40,19",,"121,57","29,98",,"3,09",21,15,,
WAB0019339,"35,45","1,37","114,74","26,90",,,15,14,,
WAB0019349,"46,01","2,00","128,19","27,71",,,22,20,,
WAB0019364,"26,48","1,47","104,33","23,50","1,70","6,27",9,9,CLEFT,ERECT
WAB0019399,"25,24","0,93","81,00","22,77","1,37","6,30",15,13,ACUTE TO ACCUMUNATE,INTERMEDIATE
WAB0019447,"44,46","1,55","118,40","30,52",,"0,57",14,13,,
WAB0019481,"26,45","1,30","100,00","30,00","1,50","6,30",72,53,CLEFT,ERECT
WAB0019494,"50,46",,"133,84","30,68",,"4,70",37,14,,
WAB0019495,"54,83","1,89","136,85","24,97","1,78",,26,15,,
WAB0019502,"42,04","1,53","126,87","25,39",,"0,55",14,13,,
WAB0019525,"46,58","1,61","129,90","26,49","0,60",,33,24,,
WAB0019526,"41,82",,"123,24","26,33",,"4,50",30,10,,
WAB0019544,"41,63","1,87","133,02","26,89",,"5,63",37,15,,
WAB0019564,"38,89","1,50","110,05","19,58","1,20",,24,15,,
WAB0019607,"53,01","1,35","108,21","22,70","1,90","5,93",9,7,,
WAB0019788,"26,66","1,50","96,00","26,23","0,97","6,27",7,6,CLEFT,ERECT
WAB0019799,"48,69",,"124,39","25,13",,,18,15,,
WAB0019800,"37,12","1,00","106,00","30,13","1,57","6,47",11,10,CLEFT,ERECT
WAB0019806,"43,48","1,42","120,37","25,75",,"2,58",19,17,,
WAB0019820,"47,38",,"137,78","25,92",,,15,14,,
WAB0019822,"23,08","1,20","92,67","28,70","1,53","7,13",27,25,ACUTE TO ACCUMUNATE,OPEN
WAB0019835,"39,12","1,62","109,34","26,47",,"4,13",34,10,,
WAB0019855,"33,62","1,43","95,00","30,27","1,97","6,40",8,7,MIXTURE,ERECT
WAB0019858,"36,73","1,70","127,25","29,88",,,22,19,,
WAB0019869,"22,86","0,93","73,33","25,77","1,40","4,97",10,9,CLEFT,ERECT
WAB0019871,"30,72","1,43","105,67","24,43","1,40","7,30",10,9,ACUTE TO ACCUMUNATE,ERECT
WAB0019900,"32,36",,"111,67","26,28",,"2,58",19,18,,
WAB0019906,"28,10","1,37","93,00","26,97","1,37","8,93",14,12,ACUTE TO ACCUMUNATE,ERECT
WAB0019918,"49,16","1,37","122,67","31,07","2,83","8,10",11,9,CLEFT,ERECT
WAB0019919,"38,56","1,07","108,67","28,87","2,07","6,57",27,18,MIXTURE,INTERMEDIATE
WAB0019927,"35,86","1,03","125,67","29,93","1,63","6,97",12,11,CLEFT,INTERMEDIATE
WAB0019938,"44,58",,"127,62",,,,15,9,,
WAB0019939,"33,80","1,60","84,00","33,50","2,40","7,40",33,24,ACUTE TO ACCUMUNATE,ERECT
WAB0019941,"51,12","1,43","128,53","28,47",,"0,52",22,18,,
WAB0019944,"23,20","1,40","91,00","27,70","1,50","6,80",15,15,ACUTE TO ACCUMUNATE,ERECT
WAB0019946,"35,54","1,58","125,08","24,86",,"0,58",18,16,,
WAB0019948,"31,67","1,43","102,00","23,50",,,,,,
WAB0019952,"40,17","1,66","134,42","28,87",,"0,52",13,10,,
WAB0019953,"37,78","1,20","122,33","27,50","2,57","6,23",13,12,CLEFT,ERECT
WAB0019954,"34,80",,"129,43","29,07","1,50",,19,15,,
WAB0019956,"52,25","1,70","177,77","23,68","2,07","6,59",7,6,,
WAB0019963,"41,26",,"128,13","29,51",,"0,50",17,13,,
WAB0019976,"35,40","1,70","109,93","23,63",,,61,25,,
WAB0019979,"37,14","1,40","104,71","24,01",,"0,59",18,14,,
WAB0033111,"37,90","1,57","141,72","25,85","1,85","0,69",15,15,,
WAB0019986,"31,22","1,30","110,67","24,27","1,90","4,93",12,12,ACUTE TO ACCUMUNATE,ERECT
WAB0019996,"29,16","0,77","109,00","29,27","2,53","5,57",8,7,ACUTE TO ACCUMUNATE,ERECT
WAB0019998,"37,97","2,04","125,47","22,32","0,57",,17,13,,
WAB0020003,"53,56","1,53","125,78","31,30",,,22,10,,
WAB0020030,"46,33","1,90","121,44","26,77","1,22","0,53",18,16,,
WAB0020031,"21,20","0,53","84,00","18,83","1,50","3,83",23,22,MIXTURE,ERECT
WAB0020036,"34,98","1,47","109,33","31,03","1,97","7,67",6,4,ACUTE TO ACCUMUNATE,ERECT
WAB0020053,"33,66","2,00","139,31","34,49",,"0,65",17,10,,
WAB0020054,"40,54","1,40","115,40","32,53",,"3,67",36,10,,
WAB0020218,"37,07","2,34","126,70","26,78",,"0,56",33,29,,
WAB0020228,"58,69","1,47","138,84","23,57",,"0,55",19,17,,
WAB0020252,"44,94","1,33","146,00","27,74","1,59","4,42",16,13,,
WAB0020270,"39,42","1,70","111,77","25,53","1,63","8,50",7,7,CLEFT,ERECT
WAB0020289,"23,05","1,20","98,00","28,00","2,50","6,40",45,45,ACUTE TO ACCUMUNATE,ERECT
WAB0020296,"38,57","1,47","127,29","26,64",,"0,84",13,8,,
WAB0020298,"50,55","1,54","149,86","26,00",,"3,40",19,15,,
WAB0020300,"28,34","1,43","101,00","24,73","0,97","6,53",6,5,MIXTURE,ERECT
WAB0020349,"46,44",,"136,88","27,44","0,83","3,78",19,13,,
WAB0020365,"35,06","1,67","116,67","26,90","1,73","6,60",8,6,ACUTE TO ACCUMUNATE,ERECT
WAB0020376,"37,66","1,77","134,17","28,21","1,31","7,37",15,8,,
WAB0020377,"43,67","1,49","135,00","27,57","1,97","5,13",11,10,,
WAB0020382,"42,09","2,00","149,23","30,09","1,27","6,20",24,12,,
WAB0020386,"25,34","1,23","90,33","23,77","1,60",,4,3,CLEFT,ERECT
WAB0020388,"41,66","1,75","135,20","23,83",,"3,11",21,19,,
WAB0020393,"31,80","1,85","118,50","28,00","1,55","9,35",10,9,CLEFT,ERECT
WAB0020431,"39,58","1,61","114,80","28,50",,"0,51",15,11,,
WAB0020448,"39,66","1,83","125,68","23,93",,"0,63",11,10,,
WAB0020551,"41,34","1,10","130,61","27,67",,"0,57",15,14,,
WAB0020555,"16,10","1,10","52,00","24,60","1,60","6,90",60,50,ACUTE TO ACCUMUNATE,ERECT
WAB0020641,"39,44",,"121,38","29,43",,,16,11,,
WAB0020740,"31,71","1,68","120,52","21,84",,"0,52",20,17,,
WAB0020908,"18,00","1,20","92,00","20,00","2,10","5,70",30,35,ACUTE TO ACCUMUNATE,ERECT
WAB0020926,"27,17","1,50",,"26,77",,,29,28,,
WAB0020977,"46,25",,"123,03","27,10","0,56","0,56",17,10,,
WAB0022354,"53,22","1,45","135,10","30,48","0,63","0,50",12,10,,
WAB0022371,"39,51","1,77","123,89","32,20",,"4,33",33,12,,
WAB0022373,"36,00","1,73","126,67","28,03","1,67","6,93",8,7,CLEFT,ERECT
WAB0022378,"36,86","1,07","126,00","27,47","2,30","7,23",19,17,ACUTE TO ACCUMUNATE,ERECT
WAB0022384,"40,29","1,96","125,20","30,80",,"0,51",20,17,,
WAB0022414,"32,06","0,93","129,00","29,03","1,53","2,90",23,21,ACUTE TO ACCUMUNATE,MIXTURE
WAB0022415,"20,58","1,15","77,00","26,05","1,70","6,90",45,42,CLEFT,OPEN
WAB0022426,"34,06","1,62","101,98","31,24",,"4,30",43,17,,
WAB0022430,"39,86","2,23","142,18","27,59",,"0,61",22,18,,
WAB0022444,"37,64","1,41","139,87","30,50",,"0,56",27,20,,
WAB0022455,"29,42","1,67","113,67","25,90","0,93","6,20",8,7,CLEFT,ERECT
WAB0022469,"35,98","1,70","118,67","26,17","1,50","7,27",5,5,ACUTE TO ACCUMUNATE,ERECT
WAB0022481,"22,60","1,20","93,67","20,93","0,70","8,00",5,4,CLEFT,ERECT
WAB0022484,"42,56","1,47","96,50","23,82",,"3,77",53,9,,
WAB0022501,"44,41","1,67","127,71","28,50",,"0,62",15,10,,
WAB0022503,"26,88","1,73","107,67","19,47","0,70","6,77",17,15,TIP ROUND OR TRUNCATE,ERECT
WAB0022509,"39,39","2,00","124,81","31,34",,"4,13",31,16,,
WAB0022520,"40,58","2,10","100,43","24,66",,"3,70",44,13,,
WAB0022530,"38,89","1,53","117,88","28,33",,"3,83",45,13,,
WAB0022532,"40,56","2,03","105,87","27,39",,"0,52",15,15,,
WAB0022537,"33,10","1,50","121,67","26,63","0,93","8,37",9,8,ACUTE TO ACCUMUNATE,ERECT
WAB0022542,"49,26","1,74","142,40","31,34",,,20,17,,
WAB0022550,"47,00","1,63","135,20","27,05","2,24","0,63",12,11,,
WAB0022553,"29,20","1,65","118,50","28,45","2,30","5,90",8,6,CLEFT,ERECT
WAB0022591,"41,92","1,87","120,86","24,95",,,19,11,,
WAB0022595,"34,00","1,55","128,50","33,35","2,00","6,90",25,23,ACUTE TO ACCUMUNATE,ERECT
WAB0022596,"35,02","1,37","115,67","24,73","1,93","5,77",6,6,MIXTURE,ERECT
WAB0022619,"41,65",,"101,66","27,88",,"0,55",14,25,,
WAB0022631,"49,93","1,77","132,90","27,69","0,93","0,63",10,7,,
WAB0022688,"25,10","1,60","97,33","24,57","1,13","7,73",8,6,CLEFT,INTERMEDIATE
WAB0022693,"35,50","1,60",,"19,03",,,16,14,,
WAB0022696,"25,70","1,40","112,00","24,30","1,20","9,60",9,9,ACUTE TO ACCUMUNATE,ERECT
WAB0022722,"38,39","1,74","121,46","23,34","0,70","4,80",19,11,,
WAB0022780,"28,04","1,47","88,33","25,73","1,70","6,50",9,8,ACUTE TO ACCUMUNATE,ERECT
WAB0022781,"43,90",,"151,47","28,21","1,57","5,91",12,10,,
WAB0022783,"41,92","1,53","139,70","25,16","1,75","0,50",16,14,,
WAB0022847,"42,82","1,71","147,57","27,07",,,27,17,,
WAB0022886,"37,11","2,33","136,86","24,20",,"0,58",18,14,,
WAB0022936,"31,56","1,67","111,67","29,07","1,37","6,63",11,9,ACUTE TO ACCUMUNATE,ERECT
WAB0022947,"44,22","1,90","112,66","26,05",,"5,53",23,9,,
WAB0022974,"28,72","1,43","109,43","27,43","1,73",,5,5,CLEFT,ERECT
WAB0023040,"43,45","1,77","115,52","25,35",,"3,70",36,15,,
WAB0023093,"35,36","1,57","107,67","28,80","1,67","7,20",7,5,ACUTE TO ACCUMUNATE,ERECT
WAB0023103,"47,10","1,97","103,35","25,40","1,81","6,10",11,8,,
WAB0023121,"45,57","2,03","130,70","27,52",,"0,55",24,19,,
WAB0023134,"34,97","1,90","124,52","28,64",,"5,45",21,17,,
WAB0023142,"24,24","1,23","92,33","21,17","1,00","6,77",6,6,CLEFT,ERECT
WAB0023224,"44,71","1,03","126,06","24,81",,,21,18,,
WAB0023241,"31,50","1,07","106,33","26,93","2,53","5,73",14,12,CLEFT,ERECT
WAB0023263,"46,81","1,80","142,82","26,15",,"0,66",17,15,,
wab0023308,"23,70","1,10","83,00","23,70","2,20","5,87",10,9,ACUTE TO ACCUMUNATE,ERECT
WAB0023310,"50,48","1,52","138,68","24,80","2,04","0,58",18,15,,
WAB0023320,"29,60","1,57","98,33","28,80","2,03","5,53",17,17,MIXTURE,ERECT
WAB0023330,"34,50","1,67","115,47","25,83",,,17,10,,
WAB0023333,"47,44","1,47","137,85","30,46","2,64","3,26",15,14,,
WAB0023338,"36,26","1,50","120,18","25,29",,,16,13,,
WAB0023342,"33,91","1,20","126,47","23,98",,"0,54",30,22,,
WAB0023465,"43,63","1,72","104,91","24,41",,"0,59",21,29,,
WAB0023528,"32,62",,"90,62","21,46",,"3,93",43,18,,
WAB0023594,"49,01","1,44","149,75","20,77",,"2,82",19,16,,
WAB0023602,"33,30","1,73","79,50","22,40","1,40","8,10",9,9,CLEFT,ERECT
WAB0023672,"44,23","1,39","122,65","26,93","0,56","0,65",20,14,,
WAB0023679,"38,98","1,70","114,13","24,97",,"4,83",27,13,,
WAB0023691,"23,70","0,93","62,33","21,17","1,47","5,23",18,16,CLEFT,ERECT
WAB0023998,"33,60",,"118,40","27,94",,,16,12,,
WAB0024020,"44,12",,"134,47","28,49",,"0,50",13,12,,
WAB0024050,"51,26","1,81","128,73","25,78","1,98","3,36",12,9,,
WAB0024462,"21,32","0,93","62,67","24,27","1,67","5,37",12,12,MIXTURE,ERECT
WAB0024605,"46,57","2,33","145,75","25,43",,,10,9,,
WAB0024939,"24,30","1,37","73,67","23,60","1,83","6,10",16,14,CLEFT,ERECT
WAB0025022,"36,10","1,99","128,94","23,67",,,23,18,,
WAB0025621,"35,46",,"120,39","23,14",,,46,43,,
WAB0026859,"65,60",,"116,87","29,46",,,17,16,,
WAB0026869,"52,52","1,72","122,95","29,40","2,28","0,66",16,14,,
WAB0026911,"36,62","1,34","133,41","26,80",,"0,54",19,12,,
WAB0026922,"40,47","1,45","141,53","26,06",,"0,64",14,11,,
WAB0026966,"20,64","0,77","84,33","21,07","1,33","2,93",13,13,MIXTURE,ERECT
WAB0026998,"58,43",,"117,33","24,49","1,67","6,03",,,,
WAB0027012,"45,51","1,53","136,72","30,60",,,28,18,,
WAB0027028,"22,96","1,57","88,33","24,83","1,80","5,27",12,11,ACUTE TO ACCUMUNATE,INTERMEDIATE
WAB0027036,"42,20","1,70","142,83","26,84",,,22,12,,
