Acc.Number,Leaf blade length [cm],Leaf blade width [cm],Culm length [cm],Panicle length [cm],Ligule length [mm],Culm diameter [mm],Total number of tillers ,Number of fertile tillers ,Ligule Shape,Plant Type
WAB0004935,"40,29","1,61","92,22","24,17",,,21,23,,
WAB0004947,"40,77","1,97","112,24","28,01",,"4,43",43,19,,
WAB0004965,"19,35","1,25","71,50","28,35","1,70","5,65",21,19,ACUTE TO ACCUMUNATE,ERECT
WAB0004994,"40,31","1,60","110,73","35,85",,"0,57",13,15,,
WAB0005002,"38,86","1,57","132,74","26,84","0,96","0,70",16,8,,
WAB0005040,"34,32","1,80","109,73","21,47",,,15,13,,
WAB0005046,"44,41","1,03","138,90","28,91","1,84","7,13",21,9,,
WAB0005074,"46,78","1,43","141,03","26,69","1,12","0,73",17,15,,
WAB0005078,"45,49",,"127,71","26,32","1,36","0,60",21,17,,
WAB0005095,"51,63","1,42","140,07","26,81",,,12,11,,
WAB0005128,"32,49","1,74","109,48","25,19",,,18,16,,
WAB0005162,"26,86","1,03","84,17","30,20","2,27","4,97",12,12,CLEFT,ERECT
WAB0005183,"28,36","0,87","105,00","26,63","1,17","5,13",16,14,CLEFT,ERECT
WAB0005185,"43,19","1,20","133,96","27,83",,"0,59",22,16,,
WAB0005189,"45,16",,"121,60","32,04",,,16,10,,
WAB0005197,"55,49","1,77","129,77","34,22",,"2,87",16,15,,
WAB0005199,"55,91","2,17","135,40","26,34",,,15,9,,
WAB0005219,"35,66","1,03","91,67","32,07","2,87","7,17",14,13,ACUTE TO ACCUMUNATE,ERECT
WAB0005238,"37,18","2,03","100,23","26,13",,"0,58",22,35,,
WAB0005469,"41,69","1,27","129,17","27,01",,"4,00",22,9,,
WAB0005497,"19,44","1,17","64,00","21,70","1,87","4,67",19,16,CLEFT,ERECT
WAB0005498,"19,55","1,00","84,00","29,20","1,70","6,00",37,30,CLEFT,ERECT
WAB0005505,"36,22","1,55","128,70","29,72",,"0,59",18,15,,
WAB0005509,"42,16",,"138,94","26,63",,"0,53",13,11,,
WAB0005524,"37,98","2,23","97,71","23,52",,,16,12,,
WAB0005637,"26,16","1,40","75,27","22,33","2,00","6,20",37,33,CLEFT,ERECT
WAB0005650,"31,58","1,07","91,67","25,33","1,40","8,43",6,6,ACUTE TO ACCUMUNATE,ERECT
WAB0005669,"49,90","1,73","136,98","28,47",,"0,52",20,15,,
WAB0005683,"46,17","1,80","126,27","25,08","0,53","0,55",12,12,,
WAB0005696,"26,16","1,40","79,33","23,27","1,93","4,97",44,41,ACUTE TO ACCUMUNATE,ERECT
WAB0005699,"25,64","1,59","107,37","23,79","2,04",,22,20,,
WAB0005708,"36,47","1,27","114,20","29,36",,"0,55",16,15,,
WAB0005807,"31,43","1,75","109,00","26,20","0,35","6,95",52,48,TIP ROUND OR TRUNCATE,INTERMEDIATE
WAB0005809,"48,58",,"113,34","25,51",,"0,54",20,16,,
WAB0005834,"28,98","1,00","92,00","29,87","2,97","7,67",11,10,ACUTE TO ACCUMUNATE,INTERMEDIATE
WAB0005836,"35,33","1,24","97,20","25,34",,,18,17,,
WAB0005847,"24,60","1,60","98,00","22,20","1,60","7,10",4,3,ACUTE TO ACCUMUNATE,ERECT
WAB0005868,"38,16",,"130,80","22,69","1,71","3,87",29,16,,
WAB0005869,"22,68","0,90","85,00","31,20","1,95","6,35",15,13,CLEFT,ERECT
WAB0005959,"48,79","1,40","147,67","26,91",,"0,54",21,15,,
WAB0006008,"45,96",,"114,26","28,30",,"0,53",17,20,,
WAB0006038,"34,47","1,83","113,57","25,51","1,17","2,40",21,18,,
WAB0006073,"49,98","1,75","128,00","28,53",,"0,51",15,10,,
WAB0006087,"31,47","1,66","96,17","28,20","1,93","0,58",34,32,,
WAB0012136,"37,47","1,42","135,83","31,02",,"0,52",21,14,,
WAB0006093,"33,76","1,67","121,67","27,40","1,63","8,77",13,11,ACUTE TO ACCUMUNATE,INTERMEDIATE
WAB0006107,"26,86","1,03","72,17","24,07","1,93","6,73",14,11,CLEFT,PROCUMBENT
WAB0006124,"38,94","1,70","127,37","30,83",,"0,50",27,24,,
WAB0006192,"15,75","0,80","63,00","24,10","1,50","6,60",41,30,CLEFT,OPEN
WAB0006241,"34,14","1,10","94,00","26,23","1,90","6,50",10,10,ACUTE TO ACCUMUNATE,ERECT
WAB0006308,"42,74","1,80","152,78","27,29",,"0,55",18,14,,
WAB0006639,"18,28","1,10","75,00","25,05","1,25","5,25",20,17,ACUTE TO ACCUMUNATE,ERECT
WAB0006643,"38,35","1,43","117,13","26,29",,,20,17,,
WAB0006646,"36,72","1,66","124,33","25,29",,,26,25,,
WAB0006730,"25,30","1,47","98,33","24,63","1,33","4,90",10,10,CLEFT,ERECT
WAB0006744,"47,79","1,54","138,16","32,08",,,11,10,,
WAB0006766,"61,92",,"132,23","30,90","2,33","8,16",10,8,,
WAB0006846,"51,61",,"142,97","27,12","0,55","0,70",21,16,,
WAB0006946,"30,94","1,20","108,00","26,97","1,37","7,83",11,7,CLEFT,ERECT
WAB0006964,"41,34","1,46","122,04","28,41","0,54","0,51",20,14,,
WAB0006988,"12,65","0,90","75,00","19,10","1,00","8,60",56,54,ACUTE TO ACCUMUNATE,ERECT
WAB0007035,"26,30","1,30","65,00","30,00","2,00","9,10",34,8,ACUTE TO ACCUMUNATE,OPEN
WAB0007113,"31,15","1,63","114,90","26,11",,,13,8,,
WAB0007157,"41,15","1,90","128,53","23,84",,"0,58",18,15,,
WAB0007160,"57,67","1,51","144,63","24,53","1,81","0,56",9,9,,
WAB0007179,"39,96","1,65","126,90","27,93",,,21,13,,
WAB0007182,"40,18","1,10","130,81","27,54",,"0,59",15,9,,
WAB0007187,"24,52","1,43","87,33","24,77","1,27","6,60",9,9,ACUTE TO ACCUMUNATE,ERECT
WAB0007211,"38,77","2,23","154,00","28,60",,,7,6,,
WAB0007229,"40,99","2,03","115,58","26,84",,,26,24,,
WAB0007240,"48,72","1,27","126,09","25,98",,,11,11,,
WAB0007245,"33,90","1,53","81,67","26,37","1,53","7,70",9,7,ACUTE TO ACCUMUNATE,ERECT
WAB0007250,"46,21","2,02","128,61","30,44",,,24,17,,
WAB0007285,"50,74","1,90","146,48","32,87",,"3,06",17,15,,
WAB0007318,"35,42","1,79","114,71","24,29",,,18,10,,
WAB0007380,"29,65","1,65","95,50","28,85","0,35","5,55",38,36,TIP ROUND OR TRUNCATE,INTERMEDIATE
WAB0007394,"23,28","1,50","87,00","20,85","1,45","5,40",15,13,CLEFT,ERECT
WAB0007397,"50,05","1,55","102,23","24,23","1,98","6,56",11,9,,
WAB0007400,"43,33","1,43","123,17","23,13",,,16,14,,
WAB0007404,"29,74","1,60","73,67","19,57","1,13","6,27",21,19,MIXTURE,ERECT
WAB0007431,"37,73","2,10","116,03","21,34",,"0,50",15,9,,
WAB0007438,"50,02","1,90","161,82","27,00","1,88","6,02",9,7,,
WAB0007457,"37,47","1,88","129,03","28,14",,,15,12,,
WAB0007458,"51,16","1,73","145,40","27,90",,"2,92",26,20,,
WAB0007511,"20,90","1,30","106,00","30,70","0,40","6,40",76,70,TIP ROUND OR TRUNCATE,INTERMEDIATE
WAB0007601,"27,92","1,50","95,17","25,27","1,20","7,57",4,4,MIXTURE,ERECT
WAB0007652,"37,84","1,73","119,33","30,00","1,60","6,97",8,7,ACUTE TO ACCUMUNATE,ERECT
WAB0007738,"40,27","1,73","139,22","28,58",,"0,53",8,8,,
WAB0007808,"33,55","1,62","94,05","24,27",,"4,00",29,10,,
WAB0007823,"49,16","1,93","126,18","26,93","2,21","0,58",17,15,,
WAB0007825,"42,64",,"122,90","28,92",,"0,55",13,11,,
WAB0007828,"58,04","1,90","142,34","26,50",,"3,98",17,14,,
WAB0007850,"33,65","1,70","130,41","26,53","1,28","0,64",15,10,,
WAB0007858,"23,24","1,07","84,67","24,97","1,60","5,10",28,19,CLEFT,ERECT
WAB0008010,"37,62","1,47","129,34","26,46","0,54","0,53",26,15,,
WAB0008018,"21,55","1,40","98,00","22,90","1,70","8,40",11,10,ACUTE TO ACCUMUNATE,INTERMEDIATE
WAB0008130,"16,58","0,77","63,00","25,27","1,60","6,40",14,13,CLEFT,ERECT
WAB0008147,"35,98","1,47","99,00","29,13","1,70","7,20",4,4,ACUTE TO ACCUMUNATE,ERECT
WAB0008240,"49,01",,"134,43","25,93",,,17,15,,
WAB0008245,"50,87","2,13","123,82","26,28",,,30,19,,
WAB0008307,"42,03","1,83","129,30","28,68",,"0,53",23,15,,
WAB0008359,"20,16","0,93","71,67","26,27","1,67","4,60",20,16,ACUTE TO ACCUMUNATE,ERECT
WAB0008416,"47,18",,"111,11","23,83",,,18,13,,
WAB0008547,"36,49","2,07","121,65","26,53",,,27,18,,
WAB0008659,"40,60",,"133,65","27,08",,"0,53",20,13,,
WAB0008667,"33,64","1,65","122,83","25,10",,"0,51",20,17,,
WAB0008773,"32,22","1,43","94,33","20,17","1,60","4,60",11,9,CLEFT,ERECT
WAB0008811,"52,48","1,90","129,05","28,28","0,50","0,52",10,10,,
WAB0009161,"47,46","1,97","112,56","29,60",,"0,51",15,23,,
WAB0009308,"39,60","1,63","126,03","23,55",,"0,52",23,19,,
WAB0009397,"41,01","1,53","116,27","27,70",,"0,61",15,12,,
WAB0009425,"15,10","1,10","73,50","25,10","1,60","4,80",36,30,CLEFT,ERECT
WAB0009430,"43,82","1,13","132,00","26,63","2,40","7,57",12,10,CLEFT,ERECT
WAB0009453,"41,48",,"134,62","23,44",,"0,56",17,13,,
WAB0009457,"19,82","0,93","77,67","19,53","1,67","4,77",5,4,ACUTE TO ACCUMUNATE,ERECT
WAB0009490,"24,05","0,10","98,00","31,50","0,40","7,30",96,37,TIP ROUND OR TRUNCATE,ERECT
WAB0009565,"27,40","1,40","118,00","24,87","1,33","6,50",9,9,CLEFT,ERECT
WAB0009567,"27,36","1,67","108,67","26,27","1,37","7,13",9,7,CLEFT,ERECT
WAB0009577,"28,86","1,70","99,67","25,63","1,30","7,53",5,5,CLEFT,ERECT
WAB0009623,"54,22","1,63","109,13","25,36","1,82","9,17",12,10,,
WAB0009625,"49,00","1,07","145,47","25,89","2,20","6,42",13,9,,
WAB0009636,"27,36","1,47","108,33","23,87","1,07","7,83",8,7,CLEFT,ERECT
WAB0009642,"95,06","1,33","87,67","23,10","1,23","7,93",4,3,CLEFT,ERECT
WAB0009656,"34,28","1,37","96,33","25,37","1,50","8,13",7,5,CLEFT,ERECT
WAB0009683,"47,78",,"129,00","24,62","2,23","2,87",19,10,,
WAB0009764,"41,33","1,53","133,54","35,73",,,19,18,,
WAB0009784,"30,92","1,97","94,33","22,97","2,00","7,27",16,14,ACUTE TO ACCUMUNATE,ERECT
WAB0010183,"36,93","1,73","120,39","28,94",,"0,60",19,12,,
WAB0009796,"39,09","1,13","107,08","26,32",,"4,07",34,10,,
WAB0009818,"47,93","1,42","127,50","26,80","0,60",,23,14,,
WAB0009898,"41,70",,"138,07","23,48","0,63","0,53",22,12,,
WAB0009974,"44,47","1,90","126,57","27,46",,"0,50",15,15,,
WAB0016530,"36,35",,"119,56","25,34",,"0,57",20,14,,
WAB0010045,"32,81",,"98,87","27,00",,"3,80",32,11,,
WAB0010112,"22,30","1,00","93,00","27,60","2,70","7,80",40,30,ACUTE TO ACCUMUNATE,INTERMEDIATE
WAB0010151,"36,22","2,04","124,25","28,46",,"3,47",27,9,,
WAB0010218,"36,80","1,70","131,78","23,55",,,27,22,,
WAB0010496,"31,16","1,13","96,00","24,33","1,47","6,93",10,10,CLEFT,ERECT
WAB0010615,"27,95","1,60","101,00","24,80","0,40","4,70",77,72,TIP ROUND OR TRUNCATE,ERECT
WAB0010684,"38,05","1,55","95,53","27,14","0,52",,14,21,,
WAB0031587,"39,28","1,73","135,13","22,45",,"3,11",14,13,,
WAB0010745,"35,41","1,18","110,33","24,46",,,16,14,,
WAB0010784,"39,60","1,76","129,83","29,22",,,26,24,,
WAB0010886,"43,31",,"122,73","26,98","1,06",,14,13,,
WAB0011035,"34,03",,"111,92","30,52",,,25,20,,
WAB0011295,"37,33","1,40","123,53","25,43",,,10,8,,
WAB0011378,"38,85",,"140,67","23,92",,,21,16,,
WAB0011426,"37,98","1,17","125,50","27,00","1,87","6,57",25,20,CLEFT,ERECT
WAB0011458,"29,68","1,27","118,00","25,90","1,70","7,90",12,11,ACUTE TO ACCUMUNATE,ERECT
WAB0011467,"35,94",,"119,16","28,10",,"0,53",20,18,,
WAB0011471,"40,97",,"120,63","23,46","0,53",,16,14,,
WAB0011483,"41,53","1,72","149,55",,,"0,50",16,12,,
WAB0011495,"38,88","1,43","125,01","27,19",,"0,53",19,16,,
WAB0011902,"50,50","1,87","123,96","28,44","1,79","0,67",12,7,,
WAB0011979,"36,27","1,87","118,71","23,51",,,18,15,,
WAB0012080,"40,95","1,73","121,01","25,63",,"0,52",27,5,,
WAB0012081,"40,38",,"113,23","24,79","1,68","5,70",9,7,,
WAB0012101,"31,79","1,72","105,72","22,20",,"0,53",16,8,,
WAB0012110,"35,24","1,40","104,67","27,17","1,47","6,70",7,5,CLEFT,ERECT
WAB0012145,"41,09","2,03","128,31","29,21","2,03","3,21",15,11,,
WAB0012361,"40,29","2,04","132,33","24,60",,"0,56",20,17,,
WAB0012373,"41,41","1,73","114,99","20,80",,"0,56",28,7,,
WAB0012382,"17,70","1,00","58,00","21,27","1,80","4,27",13,12,CLEFT,ERECT
WAB0012389,"27,74","1,50","91,67","27,10","1,20","9,47",3,3,ACUTE TO ACCUMUNATE,ERECT
WAB0012497,"24,92","0,80","117,67","27,07","1,83","5,57",12,10,ACUTE TO ACCUMUNATE,ERECT
WAB0012541,"23,82","1,20","84,67","28,07","1,30","6,93",13,12,CLEFT,ERECT
WAB0012557,"44,26",,"130,34","30,63",,"0,61",18,16,,
WAB0012561,"37,74","1,17","118,00","27,50","2,10","6,37",14,10,ACUTE TO ACCUMUNATE,ERECT
WAB0012562,"19,70","0,80","90,50","26,90","1,55","4,65",26,15,CLEFT,ERECT
WAB0012575,"41,94","1,97","137,99","28,18","1,58",,10,8,,
WAB0012593,"40,39","1,61","130,66","27,10","0,50","0,57",18,15,,
WAB0012595,"30,20","1,00","97,33","31,97","2,00","4,80",22,21,ACUTE TO ACCUMUNATE,ERECT
WAB0012600,"18,08","1,00","82,17","22,93","1,53","4,70",9,9,CLEFT,ERECT
WAB0012617,"26,08","1,07","77,00","28,20","1,83","5,97",12,9,CLEFT,ERECT
WAB0012757,"42,12","1,34","124,65","30,73",,"0,64",21,18,,
WAB0012758,"31,08","1,27","85,33","27,67","1,33","6,77",18,16,ACUTE TO ACCUMUNATE,ERECT
WAB0012759,"28,90","1,30","85,33","26,60","1,97","7,20",15,14,ACUTE TO ACCUMUNATE,ERECT
WAB0012767,"46,67",,"172,43","29,36",,,12,10,,
WAB0012818,"32,58",,"111,39","26,07",,"0,52",15,8,,
WAB0013005,"41,64",,"114,48","28,29",,"0,55",16,12,,
WAB0013018,"37,83","2,15","140,07","29,56",,,14,13,,
WAB0013104,"38,20","1,73","118,29","23,74",,"0,55",22,14,,
WAB0013135,"46,80","1,67","170,67","22,17","2,57","6,59",8,8,,
WAB0013196,"40,96","1,42","118,67","24,21",,"0,60",27,25,,
WAB0013197,"44,79","1,10","136,81","27,68",,,34,27,,
WAB0013218,"49,07","1,70","139,97","29,74","2,24","0,51",16,8,,
WAB0013222,"49,90",,"163,23","26,06","2,32","4,73",9,8,,
WAB0013251,"25,04","1,43","83,50","28,13","1,27","7,43",16,16,CLEFT,ERECT
WAB0013267,"42,18","1,17","102,62","26,77",,,21,21,,
WAB0013294,"31,84","1,53","101,33","25,17","1,30","6,67",9,8,CLEFT,ERECT
WAB0013368,"22,58","0,73","76,33","24,30","1,50","5,37",16,16,ACUTE TO ACCUMUNATE,ERECT
WAB0013380,"24,76","1,30","97,33","26,23","1,73","5,80",19,17,MIXTURE,ERECT
WAB0013455,"46,91","1,50","93,40","25,96","1,99","6,17",11,10,,
WAB0013476,"33,54","1,57","113,00","21,23","1,50","6,13",11,9,ACUTE TO ACCUMUNATE,ERECT
WAB0013508,"28,26","1,33","82,00","27,03","1,90","5,70",22,20,MIXTURE,ERECT
WAB0013518,"31,04","1,30","82,00","25,00","2,17","6,03",19,17,ACUTE TO ACCUMUNATE,ERECT
WAB0013535,"16,95","0,80","67,00","24,50","1,40","5,60",30,28,CLEFT,INTERMEDIATE
WAB0013553,"36,90","1,71","148,60","31,84",,"0,64",21,17,,
WAB0013569,"39,62","1,80","111,22","23,00",,"0,51",26,23,,
WAB0013579,"51,04","1,40","134,83","33,98",,"0,51",15,12,,
WAB0013583,"36,94","1,17","135,33","29,67","2,07","6,37",17,14,CLEFT,ERECT
WAB0013587,"30,12","1,17","135,00","24,90","1,57","6,13",18,14,MIXTURE,ERECT
WAB0013592,"35,84","1,20","128,00","28,20","1,73","6,03",15,14,ACUTE TO ACCUMUNATE,ERECT
WAB0013597,"37,68","1,00","127,67","28,87","1,80","5,77",14,12,ACUTE TO ACCUMUNATE,ERECT
WAB0013598,"51,34",,"166,56","23,11",,,16,14,,
WAB0013608,"30,84","0,90","118,00","29,07","1,60","5,73",15,12,MIXTURE,ERECT
WAB0013614,"43,12","1,33","154,00","28,53","2,70","7,40",13,10,ACUTE TO ACCUMUNATE,ERECT
WAB0013621,"29,38","1,00","137,00","24,67","1,67","5,57",20,17,ACUTE TO ACCUMUNATE,ERECT
WAB0013642,"25,05","1,10","109,00","24,10","2,00","6,40",35,20,CLEFT,ERECT
WAB0013647,"42,90","1,60","135,96","26,63",,"0,56",14,11,,
WAB0013649,"37,26","1,17","148,33","32,13","2,13","5,47",15,13,MIXTURE,ERECT
WAB0013659,"26,12","0,87","106,00","27,03","1,93","5,37",12,11,ACUTE TO ACCUMUNATE,ERECT
WAB0013660,"30,42","1,10","84,67","33,03","2,37","5,83",20,19,CLEFT,ERECT
WAB0013661,"27,50","0,83","124,67","28,03","1,33","6,83",18,16,ACUTE TO ACCUMUNATE,ERECT
WAB0013662,"41,53",,"132,97","24,82",,,24,17,,
WAB0013663,"35,86","1,17","118,00","31,30","2,13","6,00",13,12,ACUTE TO ACCUMUNATE,ERECT
WAB0013664,"38,74","1,69","107,88","27,27","0,51","0,63",32,21,,
WAB0013666,"28,66","0,83","98,67","26,30","2,23","6,53",11,8,MIXTURE,ERECT
WAB0013671,"35,70","1,07","135,00","30,40","2,60","7,13",11,10,CLEFT,ERECT
WAB0013673,"28,76","0,67","119,00","31,10","2,57","6,83",8,8,MIXTURE,ERECT
WAB0013691,"25,68","0,87","126,00","28,60","1,23","5,47",11,8,ACUTE TO ACCUMUNATE,ERECT
WAB0013704,"39,45",,"168,35","26,13","1,80","6,43",7,5,,
WAB0013707,"35,79","1,67","118,28","20,73",,,30,19,,
WAB0013711,"49,86","1,91","136,48","25,98","1,08","0,60",19,15,,
WAB0013713,"43,91",,"124,91","30,10","2,32","0,59",20,15,,
WAB0013715,"29,48","0,73","101,17","25,17","1,87","4,73",11,8,ACUTE TO ACCUMUNATE,ERECT
WAB0013717,"39,52","1,30","146,67","29,97","2,83","6,10",14,11,MIXTURE,ERECT
WAB0013718,"35,61",,"120,62","25,00",,"4,07",27,9,,
WAB0013719,"35,65","2,05","127,42","27,20",,,27,20,,
WAB0013725,"31,76","1,20","133,33","26,57","1,80","5,53",14,11,ACUTE TO ACCUMUNATE,ERECT
WAB0013727,"26,52","1,00","110,00","26,40","2,00","6,90",6,5,ACUTE TO ACCUMUNATE,ERECT
WAB0013825,"36,90","1,35","157,33","29,31",,,10,7,,
WAB0013831,"35,17","1,43","111,47","25,29",,"4,67",31,8,,
WAB0014127,"41,50","1,89","146,22","26,14",,"0,53",16,13,,
WAB0015228,"26,96","1,00","73,33","23,17","1,33","5,50",11,10,ACUTE TO ACCUMUNATE,ERECT
WAB0015283,"57,64","1,20","136,05","33,37",,"0,52",24,18,,
WAB0015326,"45,06","1,90","128,76","26,97",,"0,53",15,14,,
WAB0015416,"43,29","1,43","138,38","24,60",,"0,54",27,18,,
WAB0015428,"34,94","1,65","105,77","21,27",,,14,16,,
WAB0015443,"40,88","1,38","123,99","27,73",,,16,16,,
WAB0015445,"39,78","1,70","111,41","29,97",,"4,43",33,9,,
WAB0015461,"39,96","1,33","115,58","25,48",,"0,53",16,12,,
WAB0015475,"40,51","1,83","135,19","26,87",,"3,30",21,20,,
WAB0015545,"56,31",,"129,58","28,97",,,18,14,,
WAB0015589,"46,07","1,80","144,88","26,93","1,52","0,52",13,13,,
WAB0015590,"42,99","1,66","121,51","35,69",,"0,57",16,13,,
WAB0015629,"22,64","1,10","74,33","22,70","1,63","6,77",11,8,CLEFT,ERECT
